ds,pi,gap,nr_acc,strict
gpqa,0,0.4,0.8888888888888888,False
gpqa,1,0.1,0.9,False
gpqa,2,0.0,0.8333333333333334,False
gpqa,3,0.05,0.0,False
gpqa,4,0.25,0.125,False
gpqa,5,0.4,0.0769230769230769,False
gpqa,6,0.5,0.0,True
gpqa,7,0.35,0.631578947368421,False
gpqa,8,0.0,0.0666666666666666,False
gpqa,9,0.05000000000000002,0.2105263157894736,False
gpqa,10,0.30000000000000004,0.1875,False
gpqa,11,0.050000000000000044,0.7,False
gpqa,12,-0.2,0.3684210526315789,False
gpqa,13,0.15,1.0,False
gpqa,14,0.35000000000000003,0.25,False
gpqa,15,0.55,0.3333333333333333,True
gpqa,16,0.2,0.0,False
gpqa,17,0.0,0.7,False
gpqa,18,0.25,0.35,False
gpqa,19,0.3,0.0,False
gpqa,20,0.0,0.0,False
gpqa,21,0.4,0.0,False
gpqa,22,0.05,1.0,False
gpqa,23,0.35,0.0,False
gpqa,24,0.1,0.95,False
gpqa,25,0.15000000000000002,0.1052631578947368,False
gpqa,26,0.1,0.25,False
gpqa,27,0.6,0.2,True
gpqa,28,0.19999999999999998,0.45,False
gpqa,29,0.10000000000000009,0.25,False
gpqa,30,0.15000000000000002,0.4736842105263157,False
gpqa,31,0.1,0.0,False
gpqa,32,0.0,0.8125,False
gpqa,33,0.0,0.0,False
gpqa,34,0.35,0.2222222222222222,False
gpqa,35,0.1,0.5,False
gpqa,36,0.0,0.0,False
gpqa,37,0.0,0.0,False
gpqa,38,0.0,1.0,False
gpqa,39,0.25,1.0,False
gpqa,40,0.09999999999999998,0.1,False
gpqa,41,0.0,1.0,False
gpqa,42,0.5,0.0,True
gpqa,43,0.15,0.4210526315789473,False
gpqa,44,0.0,0.75,False
gpqa,45,0.0,0.1875,False
gpqa,46,0.1,1.0,False
gpqa,47,0.1,1.0,False
gpqa,48,0.0,0.4736842105263157,False
gpqa,49,-0.1,0.0,False
gpqa,50,0.25,0.5294117647058824,False
gpqa,51,0.1,0.3,False
gpqa,52,0.15,0.0,False
gpqa,53,0.1,0.4,False
gpqa,54,0.05,0.7894736842105263,False
gpqa,55,0.0,0.0,False
gpqa,56,0.0,0.6,False
gpqa,57,0.35,1.0,False
